"venueID","venueName","barangayAddress","cityAddress","maxCapacity","intimate","business","fun","casual","venueDesc","availabilityDays","amAvail","nnAvail","pmAvail","eventPlanner","equipRentals","decoServices","onsiteStaff","techSupport","pwdFriendly","parking","cateringServices","securityStaff","wifiAccess","priceRangeID","contactEmail","contactNum","facebookLink","instagramLink","websiteLink","walkInBook","onlineBook","phoneBook","payCash","payBank","payElectronic","latitude","longitude","publicTranspo","routes","landmarks","imgs","img2","img3","img4","img5"
"1","Sans Hotel at Luxebridge Suites Davao","Bugac, Don Julian Rodriguez Sr. Ave","Talomo, Davao City","100","1","1","0","0","wow Conveniently located along a main road, this casual hotel is just minutes from the University of Mindanao, Crocodile Park & Zoo, and Santa Ana Pier. Rooms feature colorful accents, air conditioning, and TVs, with options for groups of up to 4. Amenities include breakfast, Wi-Fi, and secured parking.","Everyday","0","1","0","1","1","1","1","1","0","0","0","1","1","4",,"282498745",,,"https://www.reddoorz.com/en-ph/hotel/philippines/davao-city/davao/the-luxebridge-suites","1","1","1","1","1","1","7.077366306086898","125.58340717815385","Bus, Jeepney, Tricycle","MA-A","Midland Village","uploads/1747238684_1.jpg","uploads/1747238684_1(2).jpg","uploads/1747238684_1(3).jpg",,
"2","Acacia Hotel","JP Laurel Avenue","Lanang, Davao City","300","1","1","0","0","Located on J.P. Laurel Avenue, Acacia Hotel Davao offers stylish rooms and suites ideal for both business and leisure stays. Guests can enjoy amenities such as a fitness center, outdoor pool, and dining options like Waling-Waling Café. Its central location provides easy access to attractions like SM Lanang Premier and the Davao Museum.","Everyday","1","1","1","1","1","1","1","1","0","0","0","0","0","5","enquiry@acaciahotelsdavao.com","9822988088",,,"https://acaciahotelsdavao.com/","1","1","1","1","1","0","7.099655202491211","125.62812998014","Jeepney","SASA","SM Lanang","uploads/1747239147_2.jpg","uploads/1747239147_2(2).jpg","uploads/1747239147_2(3).jpg",,
"3","Casa de Negro Function Hall","Crossing Bayabas","Toril, Davao City","100","1","1","0","1","Located on Everlasting Street in Saypon, Toril, Casa De Negro is a versatile function hall and restaurant offering both catering services and venue-only packages. Operating daily from 4 PM to 9 PM, it is an ideal choice for various events, including weddings, birthdays, and corporate gatherings. The venue provides a vibrant ambiance, making it a popular spot for celebrations in the area.","Everyday","0","1","1","0","1","1","1","0","0","0","0","0","0","4",,"9397680549","https://www.facebook.com/p/Casa-De-Negro-100075963516179/",,,"1","1","1","1","1","0","7.020936656457881","125.49450949815257","Jeepney","TORIL","Toril Park","uploads/1747239314_3.jpg","uploads/1747239314_3(2).jpg","uploads/1747239314_3(3).jpg",,
"4","The Bloom Cafe & Start-up Space","Ecoland Subdivision Basketball Court, Corner Walnut Street &, Ecoland Dr","Talomo, Davao City","30","0","1","0","1","Nestled in the heart of Ecoland, Davao City, The Bloom Coffee & Start-Up Space is more than just a café—it's a dynamic hub designed for growth, collaboration, and inspiration. Located at the corner of Walnut Street and Ecoland Drive, directly across from the Indonesian Consulate and near Verdon Parc, this cozy yet expansive venue offers both indoor and outdoor seating, making it ideal for everything from solo work sessions to group meetups.","Everyday","1","1","1","0","1","0","1","0","0","0","0","0","0","1",,"9087719203","https://web.facebook.com/thebloomcafe",,"https://thebloomcoffee.com.ph/contact-us/","0","1","1","1","1","0","7.050230648731288","125.59640827116466","Jeepney, Tricycle","MINTAL, ECOLAND","SM City Ecoland","uploads/1747239424_4.jpg","uploads/1747239424_4(2).jpg","uploads/1747239424_4(3).jpg",,
"5","Cacao Culture","512 Mangga, Juna Subdivision","Matina, Davao City","50","0","1","0","1","Looking for a venue that's as rich in flavor as it is in character? Cacao Culture offers a variety of spaces designed to make your gatherings unforgettable. Whether you're planning a corporate seminar, a creative workshop, or a special celebration, our venues provide the perfect blend of comfort, style, and functionality.","Everyday","1","1","1","0","1","0","1","1","0","0","0","0","0","3",,"9913666575","https://www.facebook.com/cacaocultureph/",,"cacaoculture.ph","1","1","1","1","1","0","7.059045941429271","125.59549781349396","Jeepney, Tricycle","MATINA, ULAS, PUAN, TORIL, MINTAL, MAA","Ateneo de Davao University - Matina Campus, World Palace","uploads/1747239585_5.jpg","uploads/1747239585_5(2).jpg","uploads/1747239585_5(3).jpg",,
"6","JMC Events","Paramount Garden, Riverfront Corporate City, Diversion Road,","Ma-a, Davao City","2000","1","1","1","0","JMC Events offers versatile function spaces tailored for various occasions. Whether it's a corporate seminar, a milestone celebration, or a community gathering, our venues are designed to accommodate your needs.","Everyday","0","1","1","1","1","1","1","1","0","0","0","0","0","4","jmcnbcevents@gmail.com","9072038256","https://www.facebook.com/jmceventsplacedavao/",,,"1","1","1","1","1","0","7.102585602298226","125.59310117116465","Bus, Tricycle","DAVAO - DIVERSION ROAD, MAA","Crocodile Park","uploads/1747239828_6.jpg","uploads/1747239828_6(2).jpg","uploads/1747239828_6(3).jpg",,
"7","The View Davao","Magtuod","Talomo, Davao City","900","1","1","1","1","The View Davao is a premier garden venue perched in Barangay Magtuod, Ma-a, Davao City, offering breathtaking panoramic views of the city and the Gulf of Davao. This exclusive venue is renowned for its picturesque setting, making it a sought-after location for garden weddings, receptions, and other special occasions.","Everyday","1","1","1","1","1","1","1","0","0","0","0","0","0","5",,,"https://www.facebook.com/theviewdavao/","https://www.instagram.com/theviewdavao/",,"0","1","1","1","1","0","7.125392336701012","125.56328880151013","Tricycle","DIVERSION ROAD","Crocodile Park","uploads/1747240038_7(2).jpg","uploads/1747240038_7.jpg","uploads/1747240038_7(3).jpg",,
"8","Davao Convention and Trade Center","Florentino Torres Street,","Bajada, Davao City","2000","1","1","1","0","Since 1996, the Davao Convention and Trade Center (DAVCON) has been a premier destination for large-scale events in Davao City. Spanning over 7,000 square meters, this versatile venue is renowned for its elegant design, exceptional service, and comprehensive facilities. Whether you're planning a grand wedding, a corporate seminar, or a festive bazaar, DAVCON offers a setting that combines sophistication with functionality.","Monday to Saturday","1","1","0","0","1","1","1","0","0","0","0","0","0","5","davcontc@gmail.com","9209534162","https://www.facebook.com/davaoconvention.specialevents/",,"davcon.ph","0","1","1","1","1","0","7.0816219043629784","125.61010282883532","Jeepney, Tricycle","BUHANGIN, CABANTIAN, ROUTE 13, SASA","Davao City National High School","uploads/1747240146_8.jpg","uploads/1747240146_8(20.jpg","uploads/1747240146_8(3).jpg",,
"9","Rendezvous Event Venue and Buffet","Bellevue Square Ground Floor Km 7.5 Matina Pangi Along, Davao City Diversion Rd","Talomo, Davao City","70","1","0","0","0","Looking for a place where your events are more than just gatherings? Rendezvous Event Venue in Davao City offers a dynamic setting for various occasions, from intimate parties to grand celebrations.","Everyday (except Holidays)","1","1","1","1","1","1","1","0","0","0","0","0","0","3","evacorcino0906@gmail.com","9201145243","https://www.facebook.com/ByECKING/",,,"1","0","1","1","1","0","7.077937820174168","125.57284760300304","Jeepney, Tricycle","MATINA PANGI","Bellevue Square","uploads/1747240226_9.jpg","uploads/1747240226_9(2).jpg","uploads/1747240226_9(3).jpg",,
"10","The Courtyard at Chateau Veronica","Araullo Street","Poblacion District, Davao City","50","1","0","0","1","Step into a serene oasis where timeless charm meets modern elegance. The Courtyard at Chateau Veronica is an indoor garden venue nestled in the heart of Davao City, offering a tranquil setting for intimate gatherings and special occasions.","Everyday (except Holidays)","1","1","1","1","1","0","1","0","0","0","0","0","0","5","info.thecourtyarddavao@gmail.com",,"https://www.facebook.com/thecourtyardatchateauveronica/","https://www.instagram.com/thecourtyarddavao/",,"1","1","1","1","1","0","7.076362608144073","125.60541354779402","Jeepney, Tricycle","ROUTE 9, ROUTE 13, ROUTE 14","Davao Doctors Hospital","uploads/1747240297_10.jpg","uploads/1747240297_10(2).jpg","uploads/1747240297_10(3).jpg",,
